,iteration,subject,session,run,task,ts_CAPS,pearson_r
225,3,sub-05,ses-02,run-01,task-checker,tsCAP4,0.21641531723483604
226,3,sub-05,ses-02,run-01,task-checker,tsCAP5,0.16474668804612752
227,3,sub-05,ses-02,run-01,task-checker,tsCAP6,0.17394664931224055
228,3,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.18337922388874742
229,3,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.1151422998393651
230,4,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.13393864152351787
231,4,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.08174940541858816
232,4,sub-05,ses-02,run-01,task-checker,tsCAP3,-0.13896680956832605
233,4,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.17049068387008257
234,4,sub-05,ses-02,run-01,task-checker,tsCAP5,-0.5491092832886921
235,4,sub-05,ses-02,run-01,task-checker,tsCAP6,0.29166492483730655
236,4,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.1323887945734063
237,4,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.09762083381926537
238,5,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.11707005314927982
239,5,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.1771121854953839
240,5,sub-05,ses-02,run-01,task-checker,tsCAP3,0.28313887302021273
241,5,sub-05,ses-02,run-01,task-checker,tsCAP4,0.07968822606664933
242,5,sub-05,ses-02,run-01,task-checker,tsCAP5,0.051459726550103495
243,5,sub-05,ses-02,run-01,task-checker,tsCAP6,0.17551532992993676
244,5,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.02814438069234506
245,5,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.38528699464000477
246,6,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.06262070104808728
247,6,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.12992455647194598
248,6,sub-05,ses-02,run-01,task-checker,tsCAP3,0.18570994318774459
249,6,sub-05,ses-02,run-01,task-checker,tsCAP4,0.19244861064956081
250,6,sub-05,ses-02,run-01,task-checker,tsCAP5,0.41498133174461943
251,6,sub-05,ses-02,run-01,task-checker,tsCAP6,0.2053473410486306
252,6,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.029913690474324052
253,6,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.07947291779603649
254,7,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.12384172487709406
255,7,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.2033178309509196
256,7,sub-05,ses-02,run-01,task-checker,tsCAP3,0.17040776477734376
257,7,sub-05,ses-02,run-01,task-checker,tsCAP4,0.0711073854608965
258,7,sub-05,ses-02,run-01,task-checker,tsCAP5,-0.3593101537913829
259,7,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.4857436692003799
260,7,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.2568327778034451
261,7,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.19196665326807147
262,8,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.12862276675498102
263,8,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.20572545335123824
264,8,sub-05,ses-02,run-01,task-checker,tsCAP3,-0.01939297646355876
265,8,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.062468374049623986
266,8,sub-05,ses-02,run-01,task-checker,tsCAP5,0.26009820495612407
267,8,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.19444918380929144
268,8,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.1637577648111235
269,8,sub-05,ses-02,run-01,task-checker,tsCAP8,0.04851517824472278
270,9,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.11504150777723038
271,9,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.09461186076852283
272,9,sub-05,ses-02,run-01,task-checker,tsCAP3,0.25528965370140294
273,9,sub-05,ses-02,run-01,task-checker,tsCAP4,0.28569057703528467
274,9,sub-05,ses-02,run-01,task-checker,tsCAP5,0.31469616594558514
275,9,sub-05,ses-02,run-01,task-checker,tsCAP6,0.033503812796146795
276,9,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.17314681160705436
277,9,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.28676472125459657
278,10,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.07300339534548364
279,10,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.22547674860271777
280,10,sub-05,ses-02,run-01,task-checker,tsCAP3,0.48087872543982363
281,10,sub-05,ses-02,run-01,task-checker,tsCAP4,0.4498996517460262
282,10,sub-05,ses-02,run-01,task-checker,tsCAP5,0.017375218744215635
283,10,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.35357132518069506
284,10,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.09042760808141306
285,10,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.31940189016962117
286,1,sub-06,ses-01,run-01,task-checker,tsCAP1,0.09341237007132946
287,1,sub-06,ses-02,run-01,task-checker,tsCAP1,0.024760880948154082
288,1,sub-06,ses-01,run-01,task-checker,tsCAP2,0.44878845150594543
289,1,sub-06,ses-02,run-01,task-checker,tsCAP2,0.16879986928740878
290,1,sub-06,ses-01,run-01,task-checker,tsCAP3,0.3615889755045111
291,1,sub-06,ses-02,run-01,task-checker,tsCAP3,-0.016885037143191544
292,1,sub-06,ses-01,run-01,task-checker,tsCAP4,0.3867749627438203
293,1,sub-06,ses-02,run-01,task-checker,tsCAP4,-0.017506545470861404
294,1,sub-06,ses-01,run-01,task-checker,tsCAP5,0.08365420277870059
295,1,sub-06,ses-02,run-01,task-checker,tsCAP5,0.04384445930854104
296,1,sub-06,ses-01,run-01,task-checker,tsCAP6,-0.31097023050355144
297,1,sub-06,ses-02,run-01,task-checker,tsCAP6,-0.2661684859495329
298,1,sub-06,ses-01,run-01,task-checker,tsCAP7,0.08919299820284436
299,1,sub-06,ses-02,run-01,task-checker,tsCAP7,-0.008208120577732255
300,1,sub-06,ses-01,run-01,task-checker,tsCAP8,0.10384836329950242
301,1,sub-06,ses-02,run-01,task-checker,tsCAP8,-0.26001637048439025
302,2,sub-06,ses-01,run-01,task-checker,tsCAP1,0.3704687438070536
303,2,sub-06,ses-02,run-01,task-checker,tsCAP1,0.1282962895920627
304,2,sub-06,ses-01,run-01,task-checker,tsCAP2,0.3996313865770402
305,2,sub-06,ses-02,run-01,task-checker,tsCAP2,0.019690981488647268
306,2,sub-06,ses-01,run-01,task-checker,tsCAP3,-0.1346641096378817
307,2,sub-06,ses-02,run-01,task-checker,tsCAP3,-0.19066616836730932
308,2,sub-06,ses-01,run-01,task-checker,tsCAP4,0.07849848341108019
309,2,sub-06,ses-02,run-01,task-checker,tsCAP4,0.011525150627479823
310,2,sub-06,ses-01,run-01,task-checker,tsCAP5,-0.07078574931185037
311,2,sub-06,ses-02,run-01,task-checker,tsCAP5,0.20248397061365075
312,2,sub-06,ses-01,run-01,task-checker,tsCAP6,-0.04804279524784733
313,2,sub-06,ses-02,run-01,task-checker,tsCAP6,0.16951571860432116
314,2,sub-06,ses-01,run-01,task-checker,tsCAP7,0.04168943796713374
315,2,sub-06,ses-02,run-01,task-checker,tsCAP7,-0.20420098627174732
316,2,sub-06,ses-01,run-01,task-checker,tsCAP8,0.28544415720114585
317,2,sub-06,ses-02,run-01,task-checker,tsCAP8,-0.4210038616240759
318,3,sub-06,ses-01,run-01,task-checker,tsCAP1,-0.18765869798491067
319,3,sub-06,ses-02,run-01,task-checker,tsCAP1,0.035113137837398604
320,3,sub-06,ses-01,run-01,task-checker,tsCAP2,0.033941114260743976
321,3,sub-06,ses-02,run-01,task-checker,tsCAP2,-0.09457773438373694
322,3,sub-06,ses-01,run-01,task-checker,tsCAP3,0.1144138976057473
323,3,sub-06,ses-02,run-01,task-checker,tsCAP3,-0.14575791687316106
324,3,sub-06,ses-01,run-01,task-checker,tsCAP4,0.32839062423000037
325,3,sub-06,ses-02,run-01,task-checker,tsCAP4,-0.007063263262926347
326,3,sub-06,ses-01,run-01,task-checker,tsCAP5,-0.08105055951295422
327,3,sub-06,ses-02,run-01,task-checker,tsCAP5,-0.07138685736425479
328,3,sub-06,ses-01,run-01,task-checker,tsCAP6,0.06836149004251807
329,3,sub-06,ses-02,run-01,task-checker,tsCAP6,0.04994392233390075
330,3,sub-06,ses-01,run-01,task-checker,tsCAP7,-0.06589491427208354
331,3,sub-06,ses-02,run-01,task-checker,tsCAP7,0.07121650693538739
332,3,sub-06,ses-01,run-01,task-checker,tsCAP8,-0.07155214726454172
333,3,sub-06,ses-02,run-01,task-checker,tsCAP8,0.06585665079830595
334,4,sub-06,ses-01,run-01,task-checker,tsCAP1,-0.07426846721013179
335,4,sub-06,ses-02,run-01,task-checker,tsCAP1,0.06891325156048117
336,4,sub-06,ses-01,run-01,task-checker,tsCAP2,0.39787714495225135
337,4,sub-06,ses-02,run-01,task-checker,tsCAP2,0.2453585240960334
338,4,sub-06,ses-01,run-01,task-checker,tsCAP3,0.36809907953417853
339,4,sub-06,ses-02,run-01,task-checker,tsCAP3,-0.10767594269494181
340,4,sub-06,ses-01,run-01,task-checker,tsCAP4,0.40972680349948765
341,4,sub-06,ses-02,run-01,task-checker,tsCAP4,0.006338802915732403
342,4,sub-06,ses-01,run-01,task-checker,tsCAP5,0.09154454712689426
343,4,sub-06,ses-02,run-01,task-checker,tsCAP5,0.08856633289374279
344,4,sub-06,ses-01,run-01,task-checker,tsCAP6,0.0001863950371998119
345,4,sub-06,ses-02,run-01,task-checker,tsCAP6,0.29757347287307157
346,4,sub-06,ses-01,run-01,task-checker,tsCAP7,0.26895985497616853
347,4,sub-06,ses-02,run-01,task-checker,tsCAP7,0.29797917775561267
348,4,sub-06,ses-01,run-01,task-checker,tsCAP8,0.009632340218552672
349,4,sub-06,ses-02,run-01,task-checker,tsCAP8,0.08179659084455258
350,5,sub-06,ses-01,run-01,task-checker,tsCAP1,0.32855507012379714
351,5,sub-06,ses-02,run-01,task-checker,tsCAP1,0.3102120560127491
