,iteration,subject,session,run,task,ts_CAPS,pearson_r,eye_features,eeg_features_channel,eeg_features_band
169,10,sub-16,ses-02,run-01,task-checker,tsCAP2,0.3266921177236614,['first_derivative'],NA,NA
170,10,sub-16,ses-02,run-01,task-checker,tsCAP3,0.16729819436940005,['first_derivative'],NA,NA
171,10,sub-16,ses-02,run-01,task-checker,tsCAP4,0.4599989418527944,['pupil_dilation'],NA,NA
172,10,sub-16,ses-02,run-01,task-checker,tsCAP5,-0.24343671314566223,['first_derivative'],NA,NA
173,10,sub-16,ses-02,run-01,task-checker,tsCAP6,-0.10769708709859334,['second_derivative'],NA,NA
174,10,sub-16,ses-02,run-01,task-checker,tsCAP7,-0.3446752181201413,['pupil_dilation'],NA,NA
175,10,sub-16,ses-02,run-01,task-checker,tsCAP8,-0.35676429673380994,['first_derivative'],NA,NA
176,10,sub-18,ses-01,run-01,task-checker,tsCAP1,0.33012246564291514,['pupil_dilation'],NA,NA
177,10,sub-18,ses-01,run-01,task-checker,tsCAP2,-0.06622375544331532,['first_derivative'],NA,NA
178,10,sub-18,ses-01,run-01,task-checker,tsCAP3,0.420097307223738,['second_derivative'],NA,NA
179,10,sub-18,ses-01,run-01,task-checker,tsCAP4,0.26853517514116126,['pupil_dilation'],NA,NA
180,10,sub-18,ses-01,run-01,task-checker,tsCAP5,0.1434892087321156,['second_derivative'],NA,NA
181,10,sub-18,ses-01,run-01,task-checker,tsCAP6,0.5282659312872664,['pupil_dilation'],NA,NA
182,10,sub-18,ses-01,run-01,task-checker,tsCAP7,0.3054592990633166,['pupil_dilation'],NA,NA
183,10,sub-18,ses-01,run-01,task-checker,tsCAP8,0.22451702036992813,['pupil_dilation'],NA,NA
184,10,sub-20,ses-01,run-01,task-checker,tsCAP1,0.3033489228676052,['pupil_dilation'],NA,NA
185,10,sub-20,ses-02,run-01,task-checker,tsCAP1,0.6943734725211996,['pupil_dilation'],NA,NA
186,10,sub-20,ses-01,run-01,task-checker,tsCAP2,0.16013787362241094,['first_derivative'],NA,NA
187,10,sub-20,ses-02,run-01,task-checker,tsCAP2,0.42941859303405877,['first_derivative'],NA,NA
188,10,sub-20,ses-01,run-01,task-checker,tsCAP3,0.33365404042836605,['second_derivative'],NA,NA
189,10,sub-20,ses-02,run-01,task-checker,tsCAP3,0.30235305554084213,['second_derivative'],NA,NA
190,10,sub-20,ses-01,run-01,task-checker,tsCAP4,0.5114615337743065,['pupil_dilation'],NA,NA
191,10,sub-20,ses-02,run-01,task-checker,tsCAP4,0.5493421143442003,['pupil_dilation'],NA,NA
192,10,sub-20,ses-01,run-01,task-checker,tsCAP5,0.13624407730169447,['second_derivative'],NA,NA
193,10,sub-20,ses-02,run-01,task-checker,tsCAP5,0.1254675597684372,['second_derivative'],NA,NA
