,iteration,subject,session,run,task,ts_CAPS,pearson_r
205,6,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.03843855272852646
206,6,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.5701689239576074
207,6,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.11557378234518288
208,7,sub-05,ses-02,run-01,task-checker,tsCAP1,-0.08894145474254361
209,7,sub-05,ses-02,run-01,task-checker,tsCAP2,0.12576475413929716
210,7,sub-05,ses-02,run-01,task-checker,tsCAP3,-0.18661952181001695
211,7,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.32148498349412646
212,7,sub-05,ses-02,run-01,task-checker,tsCAP5,-0.16834660664136064
213,7,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.048455734380704295
214,7,sub-05,ses-02,run-01,task-checker,tsCAP7,0.4968255734257245
215,7,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.12520597640225184
216,8,sub-05,ses-02,run-01,task-checker,tsCAP1,0.07371215720843866
217,8,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.054258371986176744
218,8,sub-05,ses-02,run-01,task-checker,tsCAP3,-0.21432760379302743
219,8,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.016366906447742222
220,8,sub-05,ses-02,run-01,task-checker,tsCAP5,0.24572511950353124
221,8,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.296503262176793
222,8,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.1837317957968225
223,8,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.12874837538404288
224,9,sub-05,ses-02,run-01,task-checker,tsCAP1,0.5871382139181893
225,9,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.008758537627671752
226,9,sub-05,ses-02,run-01,task-checker,tsCAP3,0.5091529913418543
227,9,sub-05,ses-02,run-01,task-checker,tsCAP4,0.02988460950025627
228,9,sub-05,ses-02,run-01,task-checker,tsCAP5,-0.19426091716741564
229,9,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.3049025979129267
230,9,sub-05,ses-02,run-01,task-checker,tsCAP7,0.14083620932046234
231,9,sub-05,ses-02,run-01,task-checker,tsCAP8,0.09239392399787212
232,10,sub-05,ses-02,run-01,task-checker,tsCAP1,0.3714747912727467
233,10,sub-05,ses-02,run-01,task-checker,tsCAP2,0.20592147382032713
234,10,sub-05,ses-02,run-01,task-checker,tsCAP3,-0.07808256487002767
235,10,sub-05,ses-02,run-01,task-checker,tsCAP4,-0.051885316833954837
236,10,sub-05,ses-02,run-01,task-checker,tsCAP5,0.10274454275703396
237,10,sub-05,ses-02,run-01,task-checker,tsCAP6,0.02338880319188242
238,10,sub-05,ses-02,run-01,task-checker,tsCAP7,0.34497666637425634
239,10,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.1649262961395106
240,1,sub-06,ses-01,run-01,task-checker,tsCAP1,0.1406869290344562
241,1,sub-06,ses-02,run-01,task-checker,tsCAP1,0.11912818957432283
242,1,sub-06,ses-01,run-01,task-checker,tsCAP2,0.2168385292236887
243,1,sub-06,ses-02,run-01,task-checker,tsCAP2,0.1282197669036689
244,1,sub-06,ses-01,run-01,task-checker,tsCAP3,0.410083591135664
245,1,sub-06,ses-02,run-01,task-checker,tsCAP3,-0.08191373286771367
246,1,sub-06,ses-01,run-01,task-checker,tsCAP4,0.23725043510871047
247,1,sub-06,ses-02,run-01,task-checker,tsCAP4,-0.17781534927607393
248,1,sub-06,ses-01,run-01,task-checker,tsCAP5,0.21882164382961142
249,1,sub-06,ses-02,run-01,task-checker,tsCAP5,0.2737566470289606
250,1,sub-06,ses-01,run-01,task-checker,tsCAP6,-0.05051443605143418
251,1,sub-06,ses-02,run-01,task-checker,tsCAP6,0.34831148922308036
252,1,sub-06,ses-01,run-01,task-checker,tsCAP7,0.15466746169938828
253,1,sub-06,ses-02,run-01,task-checker,tsCAP7,0.31848487172102014
254,1,sub-06,ses-01,run-01,task-checker,tsCAP8,0.1574001735779965
255,1,sub-06,ses-02,run-01,task-checker,tsCAP8,0.33909858944822996
256,2,sub-06,ses-01,run-01,task-checker,tsCAP1,0.21753069736965344
257,2,sub-06,ses-02,run-01,task-checker,tsCAP1,0.30670947201336674
258,2,sub-06,ses-01,run-01,task-checker,tsCAP2,0.10860339607501732
259,2,sub-06,ses-02,run-01,task-checker,tsCAP2,0.11391056638835274
260,2,sub-06,ses-01,run-01,task-checker,tsCAP3,0.3511684109102102
261,2,sub-06,ses-02,run-01,task-checker,tsCAP3,0.0766586354153727
262,2,sub-06,ses-01,run-01,task-checker,tsCAP4,0.38101139727964695
263,2,sub-06,ses-02,run-01,task-checker,tsCAP4,0.05178409347398943
264,2,sub-06,ses-01,run-01,task-checker,tsCAP5,0.06959340565694241
265,2,sub-06,ses-02,run-01,task-checker,tsCAP5,0.41007897346555006
266,2,sub-06,ses-01,run-01,task-checker,tsCAP6,-0.10072847267303604
267,2,sub-06,ses-02,run-01,task-checker,tsCAP6,0.1519275185506773
268,2,sub-06,ses-01,run-01,task-checker,tsCAP7,-0.11587220915526708
269,2,sub-06,ses-02,run-01,task-checker,tsCAP7,-0.07241978297117237
270,2,sub-06,ses-01,run-01,task-checker,tsCAP8,0.020291959088859533
271,2,sub-06,ses-02,run-01,task-checker,tsCAP8,-0.1794861976316818
272,3,sub-06,ses-01,run-01,task-checker,tsCAP1,0.22832051853130297
273,3,sub-06,ses-02,run-01,task-checker,tsCAP1,0.3827549726074165
274,3,sub-06,ses-01,run-01,task-checker,tsCAP2,0.242383132859659
275,3,sub-06,ses-02,run-01,task-checker,tsCAP2,0.30591682827357364
276,3,sub-06,ses-01,run-01,task-checker,tsCAP3,0.35633372414637277
277,3,sub-06,ses-02,run-01,task-checker,tsCAP3,-0.10392586737194083
278,3,sub-06,ses-01,run-01,task-checker,tsCAP4,0.25143739423529826
279,3,sub-06,ses-02,run-01,task-checker,tsCAP4,-0.05430281798578833
280,3,sub-06,ses-01,run-01,task-checker,tsCAP5,0.048245153115032954
281,3,sub-06,ses-02,run-01,task-checker,tsCAP5,0.1967918269421696
282,3,sub-06,ses-01,run-01,task-checker,tsCAP6,0.18926450988645396
283,3,sub-06,ses-02,run-01,task-checker,tsCAP6,0.39712499617319214
284,3,sub-06,ses-01,run-01,task-checker,tsCAP7,0.014564653716331526
285,3,sub-06,ses-02,run-01,task-checker,tsCAP7,0.13316009675593807
286,3,sub-06,ses-01,run-01,task-checker,tsCAP8,0.20659860229452723
287,3,sub-06,ses-02,run-01,task-checker,tsCAP8,0.33981593316186565
288,4,sub-06,ses-01,run-01,task-checker,tsCAP1,0.20466112145686813
289,4,sub-06,ses-02,run-01,task-checker,tsCAP1,0.2287843500969162
290,4,sub-06,ses-01,run-01,task-checker,tsCAP2,0.27810388714233913
291,4,sub-06,ses-02,run-01,task-checker,tsCAP2,0.18182328302052791
292,4,sub-06,ses-01,run-01,task-checker,tsCAP3,0.36879524970497
293,4,sub-06,ses-02,run-01,task-checker,tsCAP3,0.020345372876829176
294,4,sub-06,ses-01,run-01,task-checker,tsCAP4,0.27945648714118576
295,4,sub-06,ses-02,run-01,task-checker,tsCAP4,-0.05218207310972701
296,4,sub-06,ses-01,run-01,task-checker,tsCAP5,-0.04246202416214149
297,4,sub-06,ses-02,run-01,task-checker,tsCAP5,0.3580334177508967
298,4,sub-06,ses-01,run-01,task-checker,tsCAP6,0.0021509943374373804
299,4,sub-06,ses-02,run-01,task-checker,tsCAP6,0.2523411294954077
300,4,sub-06,ses-01,run-01,task-checker,tsCAP7,0.1825999536074495
301,4,sub-06,ses-02,run-01,task-checker,tsCAP7,-0.02991073899950616
302,4,sub-06,ses-01,run-01,task-checker,tsCAP8,-0.2588312848644228
303,4,sub-06,ses-02,run-01,task-checker,tsCAP8,-0.027753058393984793
304,5,sub-06,ses-01,run-01,task-checker,tsCAP1,0.2089300460541547
